,id,condition,day,event-freeze,event-freeze,event-freeze,event-freeze,event-freeze,delta_freeze_csp,d_freeze_csm
event,,,,csm,csm_laser,csp,csp_laser,csp_shock,,
0,ZZ012_interleavedCSpCSm,jaws,14,0.621594684385382,0.275747508305648,0.347406914893617,0.122839095744681,,-0.22456781914893603,-0.34584717607973403
1,ZZ013_interleavedCSpCSm,jaws,14,0.0482047872340426,0.488364361702128,0.473404255319149,0.341589095744681,,-0.131815159574468,0.4401595744680854
2,ZZ014_interleavedCSpCSm,jaws,14,0.836103723404255,0.564162234042553,0.824634308510638,0.527593085106383,,-0.297041223404255,-0.27194148936170204
3,ZZ016_interleavedCSpCSm,control,14,0.153257978723404,0.248670212765957,0.11377245508982,0.0665335994677312,,-0.04723885562208879,0.095412234042553
4,ZZ017_interleavedCSpCSm,control,14,0.708776595744681,0.898271276595745,0.602892287234043,0.738031914893617,,0.135139627659574,0.18949468085106402
5,ZZ019-14d-sameContext,jaws,14,0.675094255932579,0.298957640275006,0.731025299600533,0.633155792276964,,-0.09786950732356903,-0.376136615657573
6,ZZ019-15dRet-altContext,jaws,15,0.349966733200266,0.266356176535817,0.645874916833001,0.566533599467731,,-0.07934131736527006,-0.083610556664449
7,ZZ019-1d-sameCtxt,jaws,1,0.600664451827242,0.561904761904762,0.72905585106383,0.766954787234043,,0.037898936170213005,-0.03875968992248002
8,ZZ019-2d-altCntxt-redo4,jaws,2,0.390146471371505,0.513981358189081,0.599367509986684,0.472536617842876,,-0.126830892143808,0.12383488681757598
9,ZZ019-training,jaws,0,0.38353280141844,,0.0412234042553191,,0.557014627659574,,
10,ZZ020-14dRet-sameContext,jaws,14,0.606746560142033,0.351309365290723,0.559087882822903,0.712882822902796,,0.15379494007989303,-0.25543719485131
11,ZZ020-15dRet-altContext,jaws,15,0.0743453173546383,0.219707057256991,0.145639147802929,0.185752330226365,,0.040113182423436006,0.14536173990235268
12,ZZ020-1d-sameCtxt,jaws,1,0.585992907801418,0.547650709219858,0.458776595744681,0.636303191489362,,0.177526595744681,-0.03834219858155996
13,ZZ020-2d-altCntxt-redo4,jaws,2,0.207723035952064,0.130492676431425,0.255821689953426,0.345642049234864,,0.089820359281438,-0.077230359520639
14,ZZ020-training,jaws,0,0.200576241134752,,0.0132978723404255,,0.376828457446808,,
15,ZZ021-15dRet-altContext,jaws,15,0.0676424927921934,0.0246174318030605,0.130326231691079,0.0181424766977364,,-0.11218375499334259,-0.043025060989132904
16,ZZ021-1d-sameCtxt,jaws,1,0.490691489361702,0.532579787234043,0.666389627659574,0.692985372340426,,0.026595744680852018,0.041888297872340996
17,ZZ021-2d-altCntxt-redo4,jaws,2,0.0774522858411008,0.296715490457168,0.544274300932091,0.427762982689747,,-0.11651131824234395,0.2192632046160672
18,ZZ021-training,jaws,0,0.336546985815603,,0.0794547872340425,,0.442403590425532,,
19,ZZ022-14d-sameContext,jaws,14,0.42121615623613,0.424545051043054,0.470039946737683,0.72103861517976,,0.25099866844207697,0.0033288948069239988
20,ZZ022-15d-altContext,jaws,15,0.051930758988016,0.0113182423435419,0.128994673768309,0.0354527296937417,,-0.09354194407456731,-0.0406125166444741
21,ZZ022-training,jaws,0,0.500998668442077,,0.0508643617021277,,0.571642287234043,,
22,ZZ025-14dRet-sameContext,jaws,14,0.268530847758544,0.289391921881935,0.580226364846871,0.477363515312916,,-0.10286284953395497,0.020861074123391
23,ZZ025-15dRet-altContext,jaws,15,0.120949844651576,0.100532623169108,0.230026631158455,0.157789613848202,,-0.072237017310253,-0.020417221482467995
24,ZZ025-1d-sameCntxt,jaws,1,0.599955673758865,0.594193262411348,0.815824468085106,0.782247340425532,,-0.03357712765957399,-0.0057624113475170935
25,ZZ025-2d-altCntxt-redo4,jaws,2,0.167998224589436,0.124722592099423,0.538948069241012,0.536118508655127,,-0.002829560585885016,-0.043275632490013
26,ZZ025-training,jaws,0,0.509862588652482,,0.0894281914893617,,0.551363031914894,,
27,ZZ026-14d-sameContext,jaws,14,0.756990679094541,0.608743897026187,0.710386151797603,0.708555259653795,,-0.0018308921438080494,-0.14824678206835395
28,ZZ026-15d-altContext,jaws,15,0.207279183311141,0.329338659565024,0.422488356620093,0.359614105123087,,-0.06287425149700598,0.122059476253883
29,ZZ026-training,jaws,0,0.368397691966267,,0.0818363273453094,,0.482202262142382,,
30,ZZ038-14d-sameContext,control,14,0.564136706613404,0.35352862849534,0.515978695073236,0.329893475366178,,-0.186085219707058,-0.21060807811806398
31,ZZ038-15d-altContext,control,15,0.188193519751443,0.120062139369729,0.267643142476698,0.255992010652463,,-0.011651131824234995,-0.068131380381714
32,ZZ038-1d-sameContext,control,1,0.944518419884598,0.694629383044829,0.939747003994674,0.913781624500666,,-0.025965379494008012,-0.24988903683976893
33,ZZ038-2dRet-AltContxt,control,2,0.897248113626276,0.518197958277852,0.76930758988016,0.786451398135819,,0.017143808255658977,-0.379050155348424
34,ZZ038-training,control,0,0.634487350199734,,0.0322473404255319,,0.554188829787234,,
35,ZZ039-14d-sameContext,control,14,0.564802485574789,0.451176209498447,0.548268974700399,0.586884154460719,,0.03861517976031992,-0.11362627607634196
36,ZZ039-15d-altContext,control,15,0.133821571238349,0.0823346648912561,0.031624500665779,0.0346205059920107,,0.0029960053262316974,-0.05148690634709291
37,ZZ039-1d-sameContext,control,1,0.700621393697292,0.715268530847759,0.744007989347537,0.625,,-0.11900798934753698,0.014647137150466949
38,ZZ039-2dRet-AltContxt,control,2,0.582778517532179,0.371948513093653,0.6008655126498,0.542942743009321,,-0.057922769640479044,-0.210830004438526
39,ZZ039-training,control,0,0.435530403905903,,0.0,,0.384807180851064,,
40,ZZ040-14d-sameContext,control,14,0.766089658233467,0.774966711051931,0.843375499334221,0.88332223701731,,0.039946737683089095,0.00887705281846407
41,ZZ040-15d-altContext,control,15,0.114070128717266,0.0319573901464714,0.453395472703063,0.252829560585885,,-0.200565912117178,-0.0821127385707946
42,ZZ040-1d-sameContext,control,1,0.510874389702619,0.793164669329783,0.580892143808256,0.604194407456724,,0.02330226364846799,0.282290279627164
43,ZZ040-2dRet-AltContxt,control,2,0.37838437638704,0.260541500221926,0.530625832223702,0.570572569906791,,0.039946737683088984,-0.11784287616511396
44,ZZ040-training,control,0,0.358394322466179,,0.139960106382979,,0.444315159574468,,
45,ZZ041-14d-sameContext,control,14,0.683089214380826,0.516866400355082,0.548102529960053,0.608688415446072,,0.06058588548601895,-0.16622281402574401
46,ZZ041-15d-altContext,control,15,0.0,0.0252996005326232,0.073020625415835,0.030938123752495,,-0.04208250166334,0.0252996005326232
47,ZZ041-1d-sameContext,control,1,0.64780292942743,0.572791833111407,0.707223701731025,0.654460719041278,,-0.052762982689746996,-0.07501109631602298
48,ZZ041-2dRet-AltContxt,control,2,0.126719928983577,0.1491344873502,0.399633821571238,0.391311584553928,,-0.008322237017309997,0.022414558366622983
49,ZZ041-training,control,0,0.232356857523302,,0.0,,0.397523271276596,,
50,ZZ042-15d-altContext,control,15,0.229471815357301,0.255659121171771,0.350699067909454,0.34254327563249,,-0.008155792276964002,0.026187305814469986
51,ZZ042-training,control,0,0.439857967154905,,0.0774601063829787,,0.444980053191489,,
52,ZZ043-14d-sameContext,control,14,0.594984465157568,0.384598313359964,0.8004327563249,0.762816245006658,,-0.03761651131824195,-0.210386151797604
53,ZZ043-15d-altContext,control,15,0.307607008205811,0.533155910401419,0.735019973368842,0.734021304926764,,-0.0009986684420779657,0.22554890219560797
54,ZZ043-training,control,0,0.418885929871283,,0.183510638297872,,0.547623005319149,,
